Timestamp,What is your age?,What is your gender?,What is your occupation?,Are you a...?,How did you purchase your tickets?,What type of ticket did you purchase?,Did you purchase your tickets for any special event (e.g. Halloween Horror Night)?,How would you rate the ease of purchasing tickets?,What type of visitor are you?,What are your preferred attraction(s)? Select all that apply.,What month did you visit USS?,Which day did you visit USS?,How would you rate your arriving experience?,How long did you queue at the entrance before entering USS? (e.g. get through security and ticket scanning),Were staff at the entrance helpful and courteous?,"Which attraction(s) did you visit? (Select all that apply)
* includes meet-and-greets, theatre shows etc.",How would you rate the wait time for the attractions you visited?,Did you use an Express Pass?,"If your answer was ""yes"", how satisfied were you with the value of the Express Pass?",How satisfied are you with the service of the staff at the attractions?,How satisfied were you with the overall experience of the attractions?,What could have made your ride experience better?,Did you purchase from any of the shopping outlets during your visit?,Which store(s) did you visit? (Select all that apply),How much did you approximately spend on merchandise?,Was the pricing reasonable for the quality and trademark of the merchandises?,How would you rate the variety of merchandises?,Did you dine in or purchased from any of the food outlets during your visit?,"If your answer was ""Yes"" above, which food outlet(s) did you visit? (Select all that apply)",How would you rate the variety of food options available?,How would you rate the overall food quality?,Do you agree that the pricing is reasonable for the food quality?,How much did you approximately spend on food?,How long did you wait to get served at the food outlet?,"Did you encounter any issues during your visit, and were they resolved to your satisfaction?","How satisfied are you with the overall service of the staff? (e.g. friendliness, helpfulness)","How would you rate the cleanliness of the park facilities (e.g. restrooms, common areas)?",Did you find enough seating areas throughout the park?,How satisfied were you with the accessibility of restrooms throughout the park?,What could be improved about the park’s facilities?,"Overall, how satisfied were you with your visit to Universal Studios Singapore?",Which aspect of your visit was the most disappointing? (Select all that apply),Are you likely to return to the park in the future?,Would you recommend Universal Studios Singapore to a friend or family member?,What could Universal Studios Singapore improve to make your visit better? 
07/10/2024 00:21:26,18 - 25,Male,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,Yes,4,Group,"Thrill Rides, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekends,4,< 5 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [New York] Lights, Camera, Action!, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Shrek 4-D Adventure",3,No,,5,4,NIL,Yes,[Hollywood] Universal Studios Store,$20 - $30,3,4,Yes,"[Hollywood] Mel's Drive-In, [Hollywood] Starbucks, [New York] Loui's NY Pizza Parlour™, [Sci-Fi City] Planet Yen",4,4,3,$10 - $20,5 - 10 mins,No issues,4,5,Yes,4,NIL,5,Long wait times,Yes,Yes,Do QR code scanners and get queue numbers so you don’t have to wait in line 
07/10/2024 10:50:46,18 - 25,Female,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,Yes,5,Group,"Thrill Rides, Shows, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekdays,5,< 5 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Donkey Live",5,No,,5,5,shorter waiting times,No,NA,NA,3,5,Yes,[New York] Loui's NY Pizza Parlour™,2,3,2,$20 - $30,> 10 mins,No issues,5,4,No,3,na,5,"Long wait times, Ride breakdowns, Poor weather conditions, Limited dining options, Overcrowded attractions",Yes,Yes,na
07/10/2024 11:43:03,18 - 25,Female,Student,Tourist,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,No,3,Group,Thrill Rides,Jan - Mar,Weekdays during Public/School Holidays,4,5 - 10 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Shrek 4-D Adventure",4,No,,3,3,making sure they dont break down,No,[Far Far Away] Fairy Godmother's Potion Shop,NA,2,2,Yes,[New York] Loui's NY Pizza Parlour™,3,3,1,$20 - $30,> 10 mins,No issues,4,4,Yes,4,more fans to cool us off,4,"Ride breakdowns, Poor weather conditions, Overcrowded attractions",Yes,No,na
07/10/2024 14:31:02,26 - 35,Female,Employed,Singaporean,Resort World Sentosa Website,One-day regular ticket,Yes,5,Group,"Thrill Rides, Shows, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekends,5,< 5 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Dino-Soarin, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Shrek 4-D Adventure",2,No,,4,4,Shorter wait times and more special events,Yes,"[Hollywood] Universal Studios Store, [Hollywood] Minion Mart, [Far Far Away] Fairy Godmother's Potion Shop",$20 - $30,5,4,Yes,"[Hollywood] Starbucks, [The Lost World] Jungle Bites",1,2,1,$10 - $20,> 10 mins,No issues,5,5,Yes,5,More food variety at cheaper price points,4,"Long wait times, Ride breakdowns, Poor weather conditions, Limited dining options, Overcrowded attractions",Yes,Yes,"More special events, merchandise, new items, shorter wait time"
07/10/2024 14:36:25,18 - 25,Female,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,Yes,5,Group,"Thrill Rides, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekdays,3,< 5 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy",2,No,,5,4,shorter queues,No,NA,NA,2,5,No,NA,4,4,2,NA,NA,No issues,5,4,Yes,4,More fans/ air condition,4,"Long wait times, Overcrowded attractions",Yes,Yes,More thrill rides
07/10/2024 14:53:54,18 - 25,Female,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,No,5,Group,"Thrill Rides, Kid-friendly, Shows",Jul - Sep,Weekdays,5,5 - 10 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Shrek 4-D Adventure",3,No,,4,4,shorter waiting times,No,NA,NA,4,5,No,NA,3,3,3,NA,NA,No issues,5,5,Yes,5,NA,5,"Long wait times, Overcrowded attractions",Maybe,Yes,shorter wait times 
07/10/2024 14:57:35,18 - 25,Female,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,No,5,Group,"Thrill Rides, Kid-friendly, Shows",Oct - Dec,Weekdays,4,< 5 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [New York] Lights, Camera, Action!, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [Ancient Egypt] Treasure Hunters, [The Lost World] Canopy Flyer, [The Lost World] Raptor Encounter with Blue, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Happily Ever After",2,No,,3,4,"Shorter waiting time, more sheltered and cool waiting areas ( some waiting areas are outdoors and exposed to heat) ",No,NA,NA,2,4,Yes,"[Sci-Fi City] Frozen Fuel, [The Lost World] Jungle Bites",2,4,2,< $10,< 5 mins,No issues,4,4,No,3,Not enough seats ,4,"Long wait times, Poor weather conditions, Overcrowded attractions",Maybe,No,Improvements mentioned in previous questions 
07/10/2024 15:00:50,18 - 25,Female,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,Yes,4,Group,"Thrill Rides, Kid-friendly, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekdays,4,5 - 10 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [Ancient Egypt] Treasure Hunters, [The Lost World] Canopy Flyer, [The Lost World] Dino-Soarin, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Happily Ever After",2,No,,3,3,faster queueing times,No,[Hollywood] The Dark Room,NA,4,3,Yes,[Sci-Fi City] Star Dots,3,3,3,$10 - $20,5 - 10 mins,"Yes, issue resolved",4,3,No,3,more resting areas,3,"Long wait times, Ride breakdowns, Poor weather conditions, Overcrowded attractions",Maybe,Yes,shorter waiting time
07/10/2024 15:09:49,18 - 25,Female,Student,Singaporean,Physically at the entrance,One-day regular ticket,No,5,Group,Thrill Rides,Oct - Dec,Weekdays,4,5 - 10 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Dino-Soarin, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Shrek 4-D Adventure",2,No,,4,4,Shorter queue time and longer ride,No,NA,NA,2,3,Yes,"[Hollywood] Starbucks, [Sci-Fi City] Frozen Fuel",2,2,2,$10 - $20,5 - 10 mins,No issues,4,4,No,3,NA,4,"Long wait times, Limited dining options, Overcrowded attractions",Yes,Yes,Build new attractions and cheaper ticket price
07/10/2024 15:13:14,18 - 25,Female,Student,Singaporean,Carousell Sellers,One-day regular ticket,Yes,5,Group,"Thrill Rides, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekdays during Public/School Holidays,4,10 - 20 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Shrek 4-D Adventure",3,No,,4,4,Shorter queue times,No,NA,NA,2,4,Yes,"[New York] Loui's NY Pizza Parlour™, [Sci-Fi City] Star Dots",3,4,3,$10 - $20,5 - 10 mins,No issues,4,4,No,4,"More affordable eating options, bigger park with more rides",4,"Long wait times, Ride breakdowns, Limited dining options, Overcrowded attractions",Maybe,Yes,Reduce prices especially if half the rides or shows are closed 
07/10/2024 15:17:52,18 - 25,Female,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,No,5,Group,"Thrill Rides, Food and Shopping",Oct - Dec,Weekdays,5,5 - 10 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [New York] Lights, Camera, Action!, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Shrek 4-D Adventure",3,No,,4,4,-,No,NA,NA,3,4,Yes,"[Hollywood] Mel's Drive-In, [Sci-Fi City] Starbot Cafe",4,4,3,$20 - $30,> 10 mins,No issues,5,4,Yes,4,more water dispensers around,5,"Limited dining options, Overcrowded attractions",Yes,Yes,-
07/10/2024 15:20:26,18 - 25,Female,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,No,5,Group,"Thrill Rides, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekdays,4,5 - 10 mins,Yes,"[Ancient Egypt] Revenge of the Mummy, [The Lost World] Dino-Soarin, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Happily Ever After",2,No,,3,3,shorter queue,No,"[Hollywood] Universal Studios Store, [Hollywood] Minion Mart",NA,2,4,Yes,[Hollywood] Starbucks,4,3,2,$10 - $20,5 - 10 mins,No issues,3,3,No,3,na,4,"Long wait times, Overcrowded attractions",No,Yes,na
07/10/2024 15:22:58,18 - 25,Female,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,Yes,3,Group,"Thrill Rides, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekdays,3,10 - 20 mins,Yes,"[New York] Lights, Camera, Action!, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Ancient Egypt] Revenge of the Mummy, [Ancient Egypt] Treasure Hunters, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld, [Far Far Away] Enchanted Airways, [Far Far Away] Magic Potion Spin, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Donkey Live, [Far Far Away] Shrek 4-D Adventure, [Far Far Away] Happily Ever After",3,No,,4,4,NA,Yes,"[Hollywood] Minion Mart, [New York] Big Bird's Emporium",$10 - $20,3,3,Yes,"[Hollywood] Mel's Drive-In, [The Lost World] Discovery Food Court",4,3,3,$20 - $30,5 - 10 mins,No issues,4,4,Yes,4,Generally good,4,"Poor weather conditions, Overcrowded attractions",Yes,Yes,Idk if they already have something similsr but a queue number system? so visitors dont have to physically queue
07/10/2024 15:23:15,18 - 25,Female,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,Yes,4,Group,"Thrill Rides, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekends,4,10 - 20 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [New York] Lights, Camera, Action!, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Dino-Soarin, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Shrek 4-D Adventure, [Far Far Away] Happily Ever After",3,No,,4,4,Shorter waiting time,Yes,"[Hollywood] Minion Mart, [Hollywood] Candylicious",> $30,2,2,Yes,"[Hollywood] Mel's Drive-In, [Sci-Fi City] Frozen Fuel",2,2,2,> $30,> 10 mins,No issues,4,4,No,4,Have clearer notice and guides to the facilities ,4,"Long wait times, Overcrowded attractions",Maybe,No,More attractions and activities for a more fulfilling experience 
07/10/2024 15:24:12,18 - 25,Female,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,No,5,Group,Thrill Rides,Jul - Sep,Weekdays,4,< 5 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld, [Far Far Away] Shrek 4-D Adventure",3,No,,4,4,More thrill,No,"[Hollywood] Universal Studios Store, [The Lost World] The Dino-Store, [Far Far Away] Fairy Godmother's Potion Shop",NA,3,3,Yes,[Hollywood] Mel's Drive-In,3,3,3,$10 - $20,> 10 mins,No issues,4,4,Yes,3,More lockers,4,Limited dining options,No,No,"More rides, larger space"
07/10/2024 15:43:39,18 - 25,Female,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,Yes,5,Group,"Kid-friendly, Food and Shopping, Special Events (e.g. Halloween Horror Nights)",Jul - Sep,Weekdays,5,5 - 10 mins,Not Applicable,[Ancient Egypt] Revenge of the Mummy,5,No,3,3,3,-,Yes,NA,< $10,4,4,Yes,[Sci-Fi City] Star Dots,4,4,4,< $10,5 - 10 mins,No issues,5,5,No,5,-,5,None,Yes,Yes,-
