"User Name","User Profile","User Avatar","User Location","Rating","Rating Text","Review Title","Review Text","Trip Type","Helpful Votes","Photos","Published Date","Disclaimer"
"tara888","https://www.tripadvisor.com/Profile/tara888","https://media-cdn.tripadvisor.com/media/photo-s/02/72/c7/ff/tara888.jpg","Melton, Australia","4","Sep 2024 • Family","Great day out for the whole family and very short ride lines (on a Monday)","Fantastic day out for the whole family, my kids age 11 and 7 loved all the rides, wait time was less than 10 minutes for all rides (we went in right on 10am open) and made sure we went on a weekday not on school holidays. Good mix of thrill rides for my 12 year old and us adults and good choices for slower rides for my little one. Waterworld show was fantastic and staff all very helpful","Family","0","https://media-cdn.tripadvisor.com/media/photo-w/2d/75/ee/47/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/75/ee/46/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/75/ee/45/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/75/ee/44/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/75/ee/43/caption.jpg","Written September 14, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"john S","https://www.tripadvisor.com/Profile/I9605FSjasons","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg","","1","Sep 2024 • Family","Shortest rides in the history of theme parks.","People will still go because of it marketing and brand name, but honestly this theme park is a joke. Some rides last like 20 or 30 seconds… the park should be outlawed as illegal. Terrible food outlets… closes at 6pm. I guess for Instagram photos but wow… what a terrible park.","Family","0","","Written September 13, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"SallyStorey","https://www.tripadvisor.com/Profile/SallyStorey","https://media-cdn.tripadvisor.com/media/photo-o/06/23/b5/0d/sallystorey.jpg","Adelaide, Australia","4","Sep 2024 • Family","Good fun, no need for express passes mid-week","We booked this mostly for our kids (aged 8 and nearly 7) but I was surprised how much fun it was for us adults too. Being worried about the lines we coughed up extra for the express passes but really didn’t need to because when we arrived (at 10am as soon as it opened) we could get into everything without waiting. After lunch we started to use the express pass but if we hadn’t already bought it, that would have been fine, we just wouldn’t have repeated so many rides. We were there on a Wednesday so maybe it’s a mid-week thing that it wasn’t so busy. <br />The kids loved the meet and greets too and the live shows.","Family","0","","Written September 12, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Sharon","https://www.tripadvisor.com/Profile/GoPlaces36513216477","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/24/default-avatar-2020-60.jpg","Malaysia","1","Sep 2024 • Family","Universal studios singapore - bad customer care","I just bought some uss e tickets online from the official website. However, I did not receive an email or any verification. My credit card was charged and I have an order no. I am unable to connect with anyone from USS and emails sent are not responded to. what do I do?","Family","0","","Written September 12, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Chin","https://www.tripadvisor.com/Profile/Pioneer07956471437","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg","Singapore, Singapore","5","Sep 2024 • Solo","Fun!","The park is well-organized, with thrilling rides, immersive themed zones, and entertaining shows. Highlights include the Transformers ride, Jurassic Park, and the Hollywood street performances. The atmosphere is vibrant and energetic, with plenty of dining and shopping options to enjoy between attractions. The staff is friendly and helpful, adding to the overall experience. It’s a must-visit for anyone looking for a day of adventure and fun in Singapore!","Solo","0","","Written September 10, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Y.Y","https://www.tripadvisor.com/Profile/FrequentFlier627960","https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/67/ab/f8/caption.jpg","Japan","5","Aug 2024 • Friends","Rediscovering Joy: A Nostalgic and Thrilling Day at Universal Studios Singapore","I rarely visit amusement parks since starting work, but my experience at Universal Studios Singapore (USS) far exceeded my expectations. The free dance and singing performances were frequent and added a lively atmosphere to the streets. The peaceful scenery brought back memories of my childhood. Tickets purchased through the official website also provide a 5% discount on both food and souvenirs, which was a nice bonus.","Friends","0","https://media-cdn.tripadvisor.com/media/photo-w/2d/5f/52/05/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/5f/52/04/caption.jpg","Written September 6, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"SahilChrungu","https://www.tripadvisor.com/Profile/SahilChrungu","https://media-cdn.tripadvisor.com/media/photo-o/10/1f/4d/60/sahilchrungu.jpg","New Delhi, India","1","Aug 2024 • Family","Poor Management of Headcounts, too much wait time at each Ride","Known for some amazing rides like roller coasters, movie theme rides, kids pleasure cinema, souvenir shops and snack shops, this place is a museum of entertainment.<br /><br />We purposely went on a weekday as weekends are very crowded. I was surprised to see the kind of rush here. The entry time for normal ticket was 10AM but I myself entered around 9.45AM as the gates were open. It was mind boggling to see that they have just provided tickets without any sense of what’s happening inside.<br /><br />Sadly, the wait time for every ride for a Normal<br />Ticket was 120 mins, even the people who had taken VIP tickets which has line free access to swings were waiting 35-45 mins for their turn. It was a low-key experience to see such kind of management at a place like this.<br /><br />Overall my experience was pretty bad just because of the Ticket price & kind of wait time they had given for every ride that just lasted fraction of seconds.<br /><br />They should really improve the management to understand headcount vs wait time/ride.","Family","0","https://media-cdn.tripadvisor.com/media/photo-w/2d/59/f1/38/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/59/f1/37/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/59/f1/36/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/59/f1/35/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/59/f1/34/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/59/f1/33/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/59/f1/32/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/59/f1/31/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/59/f1/30/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/59/f1/2f/caption.jpg","Written September 3, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Mery","https://www.tripadvisor.com/Profile/Road68062926588","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg","Bologna, Italy","3","Aug 2024 • Friends","Small park with few attractions","Small park <br />Few attractions and some locks <br />Skip the line costs $100 per person, but it's not worth it, because the lines aren't particularly long<br />Even slightly disappointing stores with repeat product<br />Poor choice","Friends","0","","Written September 3, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Josh Dela Cruz","https://www.tripadvisor.com/Profile/joshdelacruz","https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/59/47/4b/joshdelacruz.jpg","Manila, Philippines","4","Jul 2024 • Family","Family Day in USS","Me and my family had so much! When we got there, the ticket queue was so long. Good thing we booked it via Klook and got our tickets in advance, so we just walked directly to the entrance! More time to enjoy!<br /><br />Klook Discount Code: JOSHDELACRUZKLOOK","Family","0","https://media-cdn.tripadvisor.com/media/photo-w/2d/59/4b/35/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/59/4b/34/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/59/4b/33/caption.jpg","Written September 3, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Vishaal","https://www.tripadvisor.com/Profile/Daydream30380057314","https://media-cdn.tripadvisor.com/media/photo-m/1280/29/b3/bf/64/caption.jpg","The Netherlands","4","Sep 2024 • Business","Nice","Fun for lovers of transformers and even more figures! 29 Aug 2024 In the morning around 9am gone.. still mega busy haha. It's a little universal. But nice that you can take pictures with real people in a figure pack. And the quality of the suits look so real!!! Nice going.","Business","0","","Written September 3, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"County-Hunter","https://www.tripadvisor.com/Profile/County-Hunter","https://media-cdn.tripadvisor.com/media/photo-m/1280/18/e3/74/79/county-hunter.jpg","Tacoma, WA","3","Sep 2024 • Couples","Hot and crowded!","If you have a limited time in Singapore during the rainy season, coming to Universal Studios is not the best way to spend a day. <br /><br />This was our second visit to the Lion City and we had seen most of the big landmarks before and since it had been a number of years since we had been to a major theme park, we thought, hey why not. <br /><br />The admission price is quite reasonable especially when compared to Universal Studios in Los Angeles or Orlando. However, admission is about all that gets you. You won't be able to ride many rides unless you fork over an extra $120 SGD for a fast pass. In mid afternoon, the wait for all the major rides was over 2 hours. Sorry, but I'm not standing out in the hot sun for 2+ hours for a 3 minute ride.  As a result, we got in only 4 rides (none major) during our 7 hour stay. <br /><br />And as others have mentioned, it's not nearly as big as the American parks.  Still, if you are not all that interested is the rides, it can be a fun way to spend a day. We are still glad we went.","Couples","0","https://media-cdn.tripadvisor.com/media/photo-w/2d/57/ec/81/caption.jpg","Written September 3, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Αικατερινη Θ","https://www.tripadvisor.com/Profile/W3835NZ_","https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/2e/c3/0a/caption.jpg","Patras, Greece","3","Aug 2024 • Couples","Not worth it","Not something special! If you have been in universal studios Los Angeles then you shouldn’t go because the differences are chaotic","Couples","0","https://media-cdn.tripadvisor.com/media/photo-w/2d/55/21/96/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/55/21/95/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/55/21/94/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/54/fa/ff/universal-studios.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/54/fa/fe/universal-studios.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/54/fa/fc/universal-studios.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/54/fa/fb/universal-studios.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/54/fa/fa/universal-studios.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/54/fa/f9/universal-studios.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/54/fa/f7/universal-studios.jpg","Written September 1, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Pioneer07510762853","https://www.tripadvisor.com/Profile/Pioneer07510762853","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg","","1","Aug 2024 • Family","Totally overcrowded.","Very very Overcrowded <br />Each attractions have to wait for hours <br /><br />Bought the express ticket which is even more expensive than the ticket itself for whole family<br />The staff did not mention that lots of kids attractions doesn't have express access<br />5 of the attractions I went that day (26 aug 24) have technical problems<br />Even with express ticket I have to wait at least 30mins till 1hour plus esp on popular rides and on peak hour<br /><br />Please note that staff doesn't let express ticket holder in immediately, they still alternate between express and normal ticket holder, thus the waiting time will hour plus.<br /><br />Worse is after waiting 1h plus at the cylon ride, then they announced that the ride have technical problems and unsure when will be able to resume the attraction <br /><br />Totally not worth it <br />Esp the express ticket <br />Do note the day that I went is a working day. Not weekend or public holiday. Totally overcrowded. Express ticket not available for all rides, esp for kids ones. Unable to enjoy at all.","Family","0","","Written August 29, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Peter L","https://www.tripadvisor.com/Profile/PeterL302","https://media-cdn.tripadvisor.com/media/photo-o/05/ba/70/33/peter-l.jpg","Winchester, UK","4","Aug 2024 • Family","Brilliant but expensive day out!!","At almost £350 for 3 adults (including fast pass) this is an expensive place to spend a day.  That said, it was brilliant fun and we managed to get on every single ride in the space of 6 hours including a drink stop and a lunch stop (pizza was actually pretty good).<br />Although expensive I’d say the Universal Express pass is really an essential if you want to ride on all the good stuff…..we reckon without those passes we would have managed 2-3 rides at best as some of the queues were c90 minutes (longest we queued was probably 10 minutes).<br />The water ride in Jurassic Park is great fun but atleast one person on each tube will likely get absolutely soaked (in our case me!) so a good idea to keep that one until the back end of the day unless you like feeling damp!<br />Top 5……Cyclone was the best, Mummy second, Transformers third, Human fourth, Jurassic water slide fifth.","Family","0","","Written August 27, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"都会の田舎者","https://www.tripadvisor.com/Profile/tetsmennshi","https://media-cdn.tripadvisor.com/media/photo-o/12/05/4e/8c/caption.jpg","東京","4","Aug 2024 • Couples","More compact than Osaka","I went on a weekday (Friday) afternoon in late August and the attraction was waiting 20-90 minutes. You should prepare for the heat. There are several spots where you can drink water, so you can use it in case of emergency. Prices in the park are high, with a 250ml can of Coke costing $4. The site itself is compact, so overall it is easy to rotate.","Couples","0","https://media-cdn.tripadvisor.com/media/photo-o/2d/3f/1c/67/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-o/2d/3f/1c/66/caption.jpg","Written August 24, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Ben J","https://www.tripadvisor.com/Profile/BenJ238","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/fe/default-avatar-2020-58.jpg","Point Cook, Australia","4","Aug 2024 • Family","Expensive but fun","Eat before you go our pack food, it isn't great. express ticket is a def! The rides are awesome! Transformer ride is a must! ","Family","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/3a/cc/8c/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/3a/cc/8b/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/3a/cc/8a/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/3a/cc/89/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/3a/cc/88/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/3a/cc/87/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/3a/cc/86/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/3a/cc/85/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/3a/cc/84/caption.jpg","Written August 22, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Sarah P","https://www.tripadvisor.com/Profile/sarahpM220IH","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg","","5","Aug 2024 • Family","Rise and Dine Tickets","We had an amazing day at Universal Studios Sentosa! We bought the Rise and Dine tickets so that we could get into the park early (8am) to get a head start on the rides before the crowds descended. <br /><br />We Managed to get on all four rides that were open to us with our passes and even got a second go on Transformers, before eating breakfast (which was very nice) and getting over to the temporary barrier to allow us into the rest of the theme park at 10am. This gave us time to grab a locker and get onto the Mummy Returns before the queues began. <br /><br />Sadly, the Battle Star Galactica Cylon was closed down whilst we were in the queue and didn’t reopen whilst we were there but that didn’t hinder our fun as we got on all of the other rides (bar one) without having to queue longer than 50 minutes. I’m so pleased we bought the Rise and Dine tickets though as I don’t think we would have gotten into nearly as many rides if we’d entered the park at ten o’clock and would have been queuing much longer. <br /><br />Tip - the rapids ride does leave you completely soaked to the skin - more so than any other rapids ride I have ever been on. To be fair though they do have vending machines all along the sides where we were queuing but being northerners (England) we just thought people were going OTT - turns out they weren’t!<br /><br />Luckily for us, there was a drying machine just outside the ride and together with the heat and sun we were almost dry by the time we left the theme park later that day - although trainers were still damp! <br /><br />Finally, the food was really good too! We went to the Diner themed restaurant near to the New York area, back toward the entry of the park and had a variety of burgers, all of which were really fresh and tasty.","Family","0","","Written August 22, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"SunwooKim","https://www.tripadvisor.com/Profile/SuNwOoKiM31","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg","South Korea","4","Jul 2024 • Family","ENJOYABLE","VERY FUN EXPERIENCE  WILL BE BACK AGAIN.... There was a queue but dispied that i enjoyed all the rides and the food was just incredible ..","Family","0","","Written August 21, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Katsumi_Tokyo_Japan","https://www.tripadvisor.com/Profile/Katsumi_Tokyo_Japan","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg","Tokyo, Japan","5","Aug 2024 • Family","Basically, it's fun. Keep an eye on your child.","My 21-year-old son, who has an intellectual disability, somehow likes roller coasters and was really looking forward to coming here. When the kids got on board, they told me to put extra baggage in the locker at the entrance, so I took it and went in. I waited at the exit after an hour because the waiting time was indicated as 100 minutes. But it doesn't come out!!! Since he is not even looking around, he goes to the reception desk at the entrance to ask them to search for him. When I show the person in charge a picture of my son, this is him? Conversely, they are shown a picture taken by the person. The person told my son not to leave the park and to wait near the entrance (the person in charge seemed to take care of it with the translation software on his phone), but he's not there. My wife waited in the park to see if I might go outside to the monorail station, and I was the only one who went outside to look for it but couldn't find it. After the park closed, I went to the entrance again some time later and found my son and other staff members. I can only thank the staff. I'm going to put an air tag in my trouser pocket if I'm going to be alone so that I don't have to.","Family","0","","Written August 21, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Traci H","https://www.tripadvisor.com/Profile/tracih283","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg","Saint Louis, MO","5","Aug 2024 • Family","Guaranteed a memorable experience","This is an exciting theme park which has Thrilling rides, live shows, and immersive attractions based on popular movies. Perfect for families and adventure seekers. Its fun filler destination that guarantees a memorable experience.","Family","0","","Written August 21, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"County-Hunter","https://www.tripadvisor.com/Profile/County-Hunter","https://media-cdn.tripadvisor.com/media/photo-m/1280/18/e3/74/79/county-hunter.jpg","Tacoma, WA","3","Sep 2024 • Couples","Hot and crowded!","If you have a limited time in Singapore during the rainy season, coming to Universal Studios is not the best way to spend a day. <br /><br />This was our second visit to the Lion City and we had seen most of the big landmarks before and since it had been a number of years since we had been to a major theme park, we thought, hey why not. <br /><br />The admission price is quite reasonable especially when compared to Universal Studios in Los Angeles or Orlando. However, admission is about all that gets you. You won't be able to ride many rides unless you fork over an extra $120 SGD for a fast pass. In mid afternoon, the wait for all the major rides was over 2 hours. Sorry, but I'm not standing out in the hot sun for 2+ hours for a 3 minute ride.  As a result, we got in only 4 rides (none major) during our 7 hour stay. <br /><br />And as others have mentioned, it's not nearly as big as the American parks.  Still, if you are not all that interested is the rides, it can be a fun way to spend a day. We are still glad we went.","Couples","0","https://media-cdn.tripadvisor.com/media/photo-w/2d/57/ec/81/caption.jpg","Written September 3, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Αικατερινη Θ","https://www.tripadvisor.com/Profile/W3835NZ_","https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/2e/c3/0a/caption.jpg","Patras, Greece","3","Aug 2024 • Couples","Not worth it","Not something special! If you have been in universal studios Los Angeles then you shouldn’t go because the differences are chaotic","Couples","0","https://media-cdn.tripadvisor.com/media/photo-w/2d/55/21/96/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/55/21/95/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/55/21/94/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/54/fa/ff/universal-studios.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/54/fa/fe/universal-studios.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/54/fa/fc/universal-studios.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/54/fa/fb/universal-studios.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/54/fa/fa/universal-studios.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/54/fa/f9/universal-studios.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/54/fa/f7/universal-studios.jpg","Written September 1, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
